id,name,sex,score,24년 학급,클럽,좋은관계,나쁜관계,Leadership,Piano,비등교,운동선호,배정된_반
202630,Jennifer L,girl,70,c,밴드,202611.0,,,,,,1
202631,Matthew M,boy,63,e,댄스,,,,,,,2
202632,Andrew L,boy,98,a,노래,,,,,,yes,3
202633,Michael J,boy,80,d,댄스,,,,,,,6
202634,Justin L,boy,88,b,봉사,202596.0,,,,,,1
202635,Brandon B,boy,77,c,댄스,,,,,,,1
202636,Robert M,boy,94,e,노래,,,yes,,,yes,2
202637,Robert H,boy,72,f,봉사,,,,,yes,,2
202638,Michael S,boy,60,f,독서,,,,,,,2
202639,Matthew J,boy,87,d,봉사,,,,,,,6
202640,Lauren G,girl,73,b,댄스,,,,,,,5
202641,Matthew H,boy,97,b,연극,,,,yes,yes,,2
202642,Chris W,boy,74,a,야구,,,,,,,6
202643,Brian J,boy,74,b,축구,,,,,,,1
202644,Joshua S,boy,78,a,야구,202657.0,,,,,yes,3
202645,James D,boy,87,c,댄스,,,,,,,4
202646,Kimberly G,girl,60,c,노래,,,,,,,3
202647,Brian T,boy,62,b,댄스,202660.0,,,,,,6
202648,Jessica J,girl,61,d,연극,,,,yes,,,1
202649,Matthew J,boy,77,b,밴드,,,,,,,6
202650,James G,boy,91,f,축구,,,,,,,5
202651,David W,boy,92,e,미술,,,,,,,4
202652,Chris W,boy,81,a,독서,,,,,,,2
202653,Joseph L,boy,76,c,밴드,,,,,,,5
202654,Joseph M,boy,72,b,노래,,,,,yes,,4
202655,Andrew J,boy,91,d,밴드,,,,,,,2
202656,Jessica M,girl,62,a,독서,,,,yes,,,2
202657,Sarah R,girl,65,c,야구,,,yes,,,,6
202658,Amanda G,girl,61,e,연극,,202641.0,,,,,3
202659,Brandon G,boy,79,f,축구,,,,,,,6
202660,Nicholas T,boy,66,f,노래,202647.0,,yes,,,,2
202661,Robert B,boy,77,a,댄스,,,,,,,5
202662,Matthew M,boy,96,f,밴드,,,,,,,3
202663,Jessica R,girl,79,a,코딩,,,,,,,4
202664,Joseph J,boy,62,a,노래,,,,,,,1
202665,Kevin J,boy,78,b,봉사,,,,,,yes,6
202666,Jessica M,girl,80,a,봉사,,,,,,,5
202667,Michael J,boy,92,d,댄스,,,,,,,2
202668,Jessica S,girl,67,b,독서,,,,,,,3
202669,Chris T,boy,77,a,야구,,,,,,,4
202670,Joshua G,boy,77,a,연극,202615.0,,,,yes,,6
202671,Ryan T,boy,64,c,봉사,,,,,,,6
202672,Robert W,boy,91,a,독서,,,,,,,4
202673,Matthew M,boy,85,b,연극,,,,,yes,yes,6
202674,Emily W,girl,71,b,야구,,,,,,,4
202675,Stephanie J,girl,88,c,미술,,,,,,,2
202676,Joseph R,boy,71,a,밴드,,202679.0,,,yes,,4
202677,Joseph B,boy,79,f,미술,,202504.0,,,,,6
202678,Brandon J,boy,81,a,코딩,,,,,yes,,3
202679,Michael M,boy,73,d,미술,,,,yes,,,5
202680,Andrew M,boy,87,d,연극,,,,,,,1
202681,Andrew W,boy,78,a,코딩,,202671.0,,,,,1
202682,Joseph B,boy,74,d,독서,,,,,yes,,6
202683,William T,boy,70,c,밴드,,,,yes,,,4
202684,David S,boy,80,e,밴드,,,yes,,yes,yes,1
202685,Stephanie J,girl,85,d,독서,,,,,,,5
202686,David D,boy,71,a,축구,,,,,,,5
202687,Michael H,boy,76,e,댄스,,,yes,,,yes,1
202688,Matthew J,boy,91,f,축구,,,,,,yes,1
202689,David S,boy,91,d,연극,,,,,yes,yes,5
202690,Michael J,boy,90,c,축구,202674.0,202695.0,,,,,3
202691,Joseph L,boy,64,f,미술,,,yes,,,,4
202692,Robert J,boy,77,c,밴드,,,,,,,6
202693,Jennifer M,girl,64,a,연극,,,,,,,2
202694,James B,boy,92,d,연극,,,yes,,,,2
202695,Elizabeth T,girl,74,e,밴드,202700.0,,,,,,2
202696,Michael M,boy,69,a,미술,,,,,,,4
202697,Matthew J,boy,88,e,연극,,,,,,,3
202698,Justin W,boy,99,b,미술,,,,,,,3
202699,Sarah G,girl,76,b,노래,,202644.0,,,,yes,5
202700,Ryan R,boy,66,b,코딩,202695.0,202693.0,yes,,,,5
